numero,link,tribunal,tipo_participacao,nome_parte
1034707-47.2024.8.26.0224,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=68001OSMV0000&processo.foro=224&paginaConsulta=2&conversationId=&cbPesquisa=NMPARTE&dadosConsulta.valorConsulta=Coca+Cola&cdForo=-1,https://esaj.tjsp.jus.br,Reqdo,Coca Cola Industrias Ltda
0012568-55.2023.8.26.0224,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=68001LSCG0000&processo.foro=224&paginaConsulta=2&conversationId=&cbPesquisa=NMPARTE&dadosConsulta.valorConsulta=Coca+Cola&cdForo=-1,https://esaj.tjsp.jus.br,Reqdo,Coca Cola Industrias Ltda
1022726-60.2020.8.26.0224,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=680013O330000&processo.foro=224&paginaConsulta=2&conversationId=&cbPesquisa=NMPARTE&dadosConsulta.valorConsulta=Coca+Cola&cdForo=-1,https://esaj.tjsp.jus.br,Reqdo,Coca Cola Femsa Industrias Ltda
1008124-64.2020.8.26.0224,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=680012FAA0000&processo.foro=224&paginaConsulta=2&conversationId=&cbPesquisa=NMPARTE&dadosConsulta.valorConsulta=Coca+Cola&cdForo=-1,https://esaj.tjsp.jus.br,Reqdo,Coca Cola Industrias Ltda
1002251-34.2021.8.26.0229,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=6D0006S1C0000&processo.foro=229&paginaConsulta=2&conversationId=&cbPesquisa=NMPARTE&dadosConsulta.valorConsulta=Coca+Cola&cdForo=-1,https://esaj.tjsp.jus.br,Reqdo,Coca Cola Industrias Ltda.
1001059-56.2023.8.26.0242,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=6Q0001WQO0000&processo.foro=242&paginaConsulta=3&paginaConsulta=2&conversationId=&cbPesquisa=NMPARTE&dadosConsulta.valorConsulta=Coca+Cola&cdForo=-1,https://esaj.tjsp.jus.br,Reqdo,Coca Cola Brasil Industriais Ltda
0000238-17.2024.8.26.0248,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=6W0009COU0000&processo.foro=248&paginaConsulta=3&paginaConsulta=2&conversationId=&cbPesquisa=NMPARTE&dadosConsulta.valorConsulta=Coca+Cola&cdForo=-1,https://esaj.tjsp.jus.br,Reqdo,Coca-Cola Industrias LTDA
1000263-54.2023.8.26.0278,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=7Q000B7SW0000&processo.foro=278&paginaConsulta=3&paginaConsulta=2&conversationId=&cbPesquisa=NMPARTE&dadosConsulta.valorConsulta=Coca+Cola&cdForo=-1,https://esaj.tjsp.jus.br,Reqdo,Instituto Coca-cola Brasil
1009187-25.2021.8.26.0278,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=7Q0008WEV0000&processo.foro=278&paginaConsulta=3&paginaConsulta=2&conversationId=&cbPesquisa=NMPARTE&dadosConsulta.valorConsulta=Coca+Cola&cdForo=-1,https://esaj.tjsp.jus.br,Reqdo,Coca Cola Industrias Ltda
0009020-79.2008.8.26.0278,https://esaj.tjsp.jus.br/cpopg/show.do?processo.codigo=7QZX7ILOC0000&processo.foro=278&paginaConsulta=3&paginaConsulta=2&conversationId=&cbPesquisa=NMPARTE&dadosConsulta.valorConsulta=Coca+Cola&cdForo=-1,https://esaj.tjsp.jus.br,Reqdo,Spal Industria Brasileira de Bebidas S.a. (coca-cola)
